Title,Author,category,age,borrowings_count,borrowings_duration_avg,borrowings_duration_std,unique_readers,copy_count,demand_per_copy,reader_pressure,utilization_score,cluster,pca1,pca2,pca3,decision,dbscan_cluster,dbscan_decision,copy_class,P_high_copy,P_low_copy,k_required
ALGÈBRE 1RE ANNÉE,LIRET FRANCOIS,1,23.0,5,17.6,8.23407554009556,5,6,0.8333333333333334,0.8333333333333334,0.0575478253211339,1,0.7645950485117964,-1.241955652122127,4.123676783279045,1,1,Cluster_1,High-copy,0.9962271799911285,0.0037728200088715733,1.2
ALGÈBRE : 240 EXERCICES CORRIGÉS AVEC RÉSUMÉS DE COURS : PREMIERS CYCLES DE L'ENSEIGNEMENT SUPÉRIEUR...,"GAULTIER, MAURICE",1,27.0,1,15.0,0.0,1,1,1.0,1.0,0.5555555555555556,2,1.555491009618339,0.8447677600829311,-0.0026198077114391247,2,1,Cluster_1,High-copy,0.9965811234139542,0.0034188765860457392,1.0
ALGÈBRE : COURS ET EXERCICES AVEC SOLUTIONS,"FRANÇOIS, LIRET",1,23.0,1,17.0,0.0,1,1,1.0,1.0,0.7391304347826086,2,1.715199070153206,0.21308886563372767,-0.16970730459950814,2,1,Cluster_1,High-copy,0.9965811234139542,0.0034188765860457392,1.0
"ALGÈBRE : PREMIERS PAS EN PRÉPA : 1RE ANNÉE, PRÉPA SCIENTIFIQUE, MATHÉMATIQUES","LEVINE, ALBERT",3,24.0,2,11.0,5.656854249492381,2,2,1.0,1.0,0.0688513397102368,1,0.36202139469927636,0.3817186763943439,3.0075303758149077,1,1,Cluster_1,High-copy,0.9965811234139542,0.0034188765860457392,1.0
"ALGÈBRE ET GÉOMÉTRIE : 200 EXERCICES DÉVELOPPÉS, 980EXERCICES D'ENTRAONEMENT, RAPPELS DE COURS",UNKNOWN_AUTHOR,1,27.0,1,15.0,0.0,1,1,1.0,1.0,0.5555555555555556,2,1.555491009618339,0.8447677600829311,-0.0026198077114391247,2,1,Cluster_1,High-copy,0.9965811234139542,0.0034188765860457392,1.0
"ALGÈBRE GÉNÉRALE : RAPPELS DE COURS, QUESTIONS DE RÉFLEXION, EXERCICES D'ENTRAÎNEMENT",DENMAT ANNE,1,26.0,1,15.0,0.0,1,1,1.0,1.0,0.5769230769230769,2,1.5189245052235312,0.7717564536399267,-0.0317447168533255,2,1,Cluster_1,High-copy,0.9965811234139542,0.0034188765860457392,1.0
ALGÉBRE : RAPPELS DE COURS QUESTIONS DE RÉFLEXION EXERCICE D'ENTRAINEMENT ANNALES CORRIGÉES,"LECOUTRE, JEAN-PIERRE",1,26.0,1,15.0,0.0,1,1,1.0,1.0,0.5769230769230769,2,1.5189245052235312,0.7717564536399267,-0.0317447168533255,2,1,Cluster_1,High-copy,0.9965811234139542,0.0034188765860457392,1.0
ANALYS CONCEPT ET CONTEXTES : VOLUME 2 .FONCTIONS DE PLUSIEURS VARIABLES,STEWART,2,20.0,1,22.0,0.0,1,2,0.5,0.5,0.275,0,1.303587703110071,-0.8827227712843341,-0.5422620347210676,0,1,Cluster_1,High-copy,0.9944073228884757,0.005592677111524312,2.0
ANALYSE 2 : RAPPELS DE COURS ET EXERCICES AVEC SOLUTIONS,HAMED C BABA,2,15.0,6,15.333333333333334,0.816496580927726,6,74,0.081081081081081,0.081081081081081,0.0036995576087616,0,-0.8611048693480097,-0.27213412541669574,-0.21974816453289747,0,1,Cluster_1,High-copy,0.5181458143067327,0.4818541856932673,12.333333333333345
ANALYSE : FONCTIONS DE PLUSIEURS VARIABLES ET GÉOMÉTRIE ANALYTIQUE,"AEBISCHER, BRUNO",2,15.0,1,15.0,0.0,1,3,0.3333333333333333,0.3333333333333333,0.1111111111111111,0,-0.30576977531129834,-0.06829264509456699,-0.5637325199401976,0,1,Cluster_1,High-copy,0.9908640404993364,0.009135959500663529,3.0
"ANALYSE II POUR ÉCONOMISTES : MANUEL D'EXERCICES CORRIGÉS AVEC RAPPELS DE COURS : INTÉGRALES DOUBLES, ÉQUATIONS DIFFÉRENTIELLES...","PILLER, ALAIN",2,28.0,1,15.0,0.0,1,1,1.0,1.0,0.5357142857142857,2,1.5920575140131468,0.9177790665259355,0.026505101430447254,2,1,Cluster_1,High-copy,0.9965811234139542,0.0034188765860457392,1.0
ANALYSE MATHEMATIQUE : EXERCICES CORRIGES,BELAIDI BENHARRAT,3,16.26829268292683,3,9.666666666666666,4.618802153517007,3,35,0.0857142857142857,0.0857142857142857,0.000776957827773,1,-1.988907926159195,0.16242493897738686,1.976016806857708,1,1,Cluster_1,High-copy,0.5992085031007209,0.400791496899279,11.666666666666668
"ANALYSE MP : COURS, MÉTHODES ET EXERCICES CORRIGÉS","MONIER, JEAN-MARIE",2,19.0,1,15.0,0.0,1,2,0.5,0.5,0.1973684210526315,0,0.19611192531591884,0.23298376264281195,-0.3943294327411217,0,1,Cluster_1,High-copy,0.9944073228884757,0.005592677111524312,2.0
ANALYSE PC-PSI-PT : 2E ANNÉE : COURS ET 800 EXERCICES CORRIGÉS,"MONIER, JEAN-MARIE",3,22.0,1,15.0,0.0,1,1,1.0,1.0,0.6818181818181818,2,1.3726584876442998,0.47971122786790904,-0.14824435342087097,2,1,Cluster_1,High-copy,0.9965811234139542,0.0034188765860457392,1.0
ANATOMIE ET PHYSIOLOGIE HUMAINES,MARIEB ELAINE,4,16.26829268292683,1,10.0,0.0,1,4,0.25,0.25,0.0384182908545727,3,-1.2021357821563907,0.868775641348308,-0.4267756852990909,3,1,Cluster_1,High-copy,0.9851095003472906,0.014890499652709499,4.0
ANT COLONY OPTIMIZATION,DORIGO MARCO,4,16.0,1,10.0,0.0,1,3,0.3333333333333333,0.3333333333333333,0.0694444444444444,3,-1.0341384662017366,0.853802833041402,-0.40813795999700253,3,1,Cluster_1,High-copy,0.9908640404993364,0.009135959500663529,3.0
APPRENDRE JAVA ET C++ EN PARALLÈLE,"BOICHAT, JEAN-BERNARD",1,16.26829268292683,1,15.0,0.0,1,1,1.0,1.0,0.9220389805097452,2,1.1630699868447916,0.061231788499469364,-0.3151798082585123,2,1,Cluster_1,High-copy,0.9965811234139542,0.0034188765860457392,1.0
APPRENDRE LE C++,"DELANNOY, CLAUDE",1,19.0,1,15.0,0.0,1,1,1.0,1.0,0.7894736842105263,2,1.2629589744598761,0.2606773085388959,-0.23561908084653008,2,1,Cluster_1,High-copy,0.9965811234139542,0.0034188765860457392,1.0
ARCHITECTURE ET TECHNOLOGIE DES ORDINATEURS,"ZANELLA, PAOLO",2,28.0,1,10.0,0.0,1,3,0.3333333333333333,0.3333333333333333,0.0396825396825396,3,-0.5953404134640425,1.7299385103574547,-0.05863905029436613,3,1,Cluster_1,High-copy,0.9908640404993364,0.009135959500663529,3.0
ARTIFICIAL INTELLIGENCE : WITH AN INTRODUCTION TO MACHINE LEARNING,"NEAPOLITAN, RICHARD E.",3,8.0,1,15.0,0.0,1,2,0.5,0.5,0.46875,0,-0.20611962302696732,-0.5701406082302363,-0.7147034333018717,0,1,Cluster_1,High-copy,0.9944073228884757,0.005592677111524312,2.0
ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING IN 2D-3D MEDICAL IMAGE PROCESSING,"RAJA, ROHIT",4,5.0,1,15.0,0.0,1,2,0.5,0.5,0.75,0,-0.31581913621139085,-0.7891745275592496,-0.8020781607275308,0,1,Cluster_1,High-copy,0.9944073228884757,0.005592677111524312,2.0
BASES DE DONNÉES,"GARDARIN, GEORGES",2,23.0,1,15.0,0.0,1,1,1.0,1.0,0.6521739130434783,2,1.4092249920391076,0.5527225343109136,-0.11911944427898459,2,1,Cluster_1,High-copy,0.9965811234139542,0.0034188765860457392,1.0
