Title,Author,category,age,borrowings_count,borrowings_duration_avg,borrowings_duration_std,unique_readers,copy_count,demand_per_copy,reader_pressure,utilization_score
EXERCICES D'ALGÈBRE ET D'ANALYSE : 154 EXERCICES CORRIGÉS DE PREMIÉRE ANNÉE 21 ÉDITION ENTIÉREMENT REVUE ET AUGMENTÉE,BALAC STÉPHANE,1,15.0,3,15.666666666666666,1.1547005383792515,3,4,0.75,0.75,0.27265969889343084
EXERCICES D'ALGÈBRE. 1,"RIVAUD, JACQUES",1,48.0,1,15.0,0.0,1,1,1.0,1.0,0.3125
EXERCICES EN LANGAGE C++,"DELANNOY, CLAUDE",1,24.0,2,12.5,3.5355339059327378,2,2,1.0,1.0,0.11483396313101167
EXERCICES EN LANGAGE C++ : 178 EXERCICES CORRIGÉS,"DELANNOY, CLAUDE",1,8.0,5,15.4,0.8944271909999161,5,6,0.8333333333333334,0.8333333333333334,0.70565158793459
EXERCICES ET PROBLÈMES D'ALGORITHMIQUE : 144 ÉNONCÉS AVEC SOLUTIONS DÉTAILLÉES,BAYNAT BRUNO*,3,23.0,1,7.0,0.0,1,2,0.5,0.5,0.07608695652173914
"FONCTIONS DE PLUSIEURS VARIABLES RELLES : IMITES,CONTINUITE,DIFFERENTIABILITÉ ET.... COURS DÉTAILLÉ ET EXERCICES RÉSOLUS",HAZI MOHAMMED,2,8.0,54,15.24074074074074,3.0894536684100435,54,170,0.3176470588235294,0.3176470588235294,0.04700461210158146
"FONCTIONS RÉELLES D'UNE VARIABLE RÉELLE : DÉRIVABILITÉ, DÉRIVÉES, DÉVELOPPEMENTS LIMITÉS",HAZI MOHAMMED,3,8.0,7,8.428571428571429,1.8126539343499315,7,174,0.040229885057471264,0.040229885057471264,0.0006062409489482314
"FORMULES DE TAYLOR, DÉVELOPPEMENTS LIMITÉS : L1, L2, L3, CLASSES PRÉPARATOIRES","MORVAN, JEAN-MARIE",0,18.0,1,15.0,0.0,1,5,0.2,0.2,0.03333333333333334
FOUNDATIONS OF MACHINE LEARNING,"MOHRI, MEHRYAR",3,8.0,1,15.0,0.0,1,2,0.5,0.5,0.46875
FUNDAMENTALS OF DATABASE SYSTEMS,"ELMEZ ,ELMASRI",2,9.0,1,15.0,0.0,1,3,0.3333333333333333,0.3333333333333333,0.18518518518518517
"HANDS ON MACHINE LEARNING WITH SCIKIT-LEARN, KERAS, AND TENSORFLOW : CONCEPTS, TOOLS, AND TECHNIQUES TO BUILD INTELLIGENT SYSTEMS","GÉRON,AURÉLIEN",0,7.0,2,15.5,0.7071067811865476,2,3,0.6666666666666666,0.6666666666666666,0.5764882402042557
INITIATION L'ALGORITHMIQUE,UNKNOWN_AUTHOR,1,11.0,3,14.333333333333334,3.0550504633038935,3,6,0.5,0.5,0.0803337908382431
