Title,Reader_num,category,borrowing_duration,borrowing date,return date
COURS D'ALGÈBRE ET EXERCICES CORRIGÉS,6543248,1,15,2024-10-30,2024-11-14
COURS D'ALGÈBRE ET EXERCICES CORRIGÉS,5882965,1,17,2024-10-17,2024-11-03
COURS D'ALGÈBRE ET EXERCICES CORRIGÉS,6163837,1,15,2024-10-29,2024-11-13
COURS D'ALGÈBRE ET EXERCICES CORRIGÉS,3849398,2,10,2023-12-04,2023-12-14
COURS D'ALGÈBRE ET EXERCICES CORRIGÉS,5646637,1,15,2024-10-27,2024-11-11
COURS D'ALGÈBRE ET EXERCICES CORRIGÉS,4914265,1,15,2024-10-20,2024-11-04
COURS D'ALGÈBRE ET EXERCICES CORRIGÉS,5758184,1,15,2024-10-01,2024-10-16
COURS D'ALGÈBRE ET EXERCICES CORRIGÉS,5757575,1,17,2024-10-17,2024-11-03
COURS D'ALGÈBRE ET EXERCICES CORRIGÉS,5837848,1,15,2024-10-29,2024-11-13
COURS D'ALGÈBRE ET EXERCICES CORRIGÉS,6017589,1,15,2024-10-27,2024-11-11
COURS D'ALGÈBRE ET EXERCICES CORRIGÉS,4712505,1,17,2024-10-17,2024-11-03
S.E.M 300 PAR SES EXAMENS TOME2 : ANALYSE ET ALGÉBRE DE PREMIÉRE ANNÉE DES UNIVERSITÉS ET GRNDES ECOLES SCIENTIFIQUES,6538549,1,15,2024-10-29,2024-11-13
S.E.M 300 PAR SES EXAMENS TOME2 : ANALYSE ET ALGÉBRE DE PREMIÉRE ANNÉE DES UNIVERSITÉS ET GRNDES ECOLES SCIENTIFIQUES,3849398,2,10,2023-12-04,2023-12-14
MATHÉMATIQUES RAPPELS ET COURS EXERCICES RÉSOLUS,4019455,2,15,2024-10-07,2024-10-22
MATHÉMATIQUES RAPPELS ET COURS EXERCICES RÉSOLUS,1353045,2,17,2024-10-31,2024-11-17
MATHÉMATIQUES RAPPELS ET COURS EXERCICES RÉSOLUS,4803960,1,17,2024-10-24,2024-11-10
MATHÉMATIQUES RAPPELS ET COURS EXERCICES RÉSOLUS,4593943,1,15,2024-10-16,2024-10-31
ELÉMENTS DE LA THÉORIE DES PROBABILITÉS T.2,5849714,3,7,2023-11-28,2023-12-05
ELÉMENTS DE LA THÉORIE DES PROBABILITÉS T.2,4546256,3,7,2023-10-16,2023-10-23
STRUCTURE DES ORDINATEURS : AUTOUR DU PROCESSEUR,5953476,1,15,2024-09-29,2024-10-14
TOUT SUR R : ENSEMBLE DES NOMBRES REELS STRUCTURES ALGEBRIQUE ET TOPOLOGIQUE,5822661,1,15,2024-10-16,2024-10-31
TOUT SUR R : ENSEMBLE DES NOMBRES REELS STRUCTURES ALGEBRIQUE ET TOPOLOGIQUE,4844275,1,17,2024-10-17,2024-11-03
